File,Cluster
1803.07244,2
1803.07517,2
1803.08456,4
1803.09702,0
1803.09840,2
1803.10981,1
1804.00596,1
1804.01396,2
1804.01405,2
1804.01508,1
1804.02393,1
1804.02512,1
1804.03342,2
1804.03439,3
1804.03984,2
1804.04216,3
1804.04327,4
1804.05044,2
1804.05950,1
1804.05997,1
1804.07047,3
1804.07099,1
1804.07121,1
1804.07805,2
1804.07819,2
1804.08033,2
1804.09817,4
1804.10227,1
1804.11002,2
1805.01060,0
1805.01109,2
1805.01276,4
1805.01954,0
1805.02181,2
1805.02290,2
1805.02874,1
1805.03138,2
1805.03435,4
1805.04220,0
1805.05081,4
1805.05447,0
1805.05769,0
1805.06924,0
1805.06992,1
1805.08456,1
1805.08747,0
1805.09780,2
1805.09866,1
1805.09975,3
1805.10587,0
1805.10768,4
1805.10820,0
1805.10900,4
1805.12402,0
1806.00047,4
1806.00119,1
1806.00938,0
1806.01044,1
1806.01151,0
1806.01526,2
1806.01650,2
1806.02457,2
1806.02847,0
1806.02932,0
1806.03806,1
1806.04216,1
1806.04325,1
1806.04959,1
1806.05108,3
1806.05117,3
1806.05292,4
1806.05554,2
1806.06569,0
1806.07172,1
1806.07552,2
1806.07717,1
1806.09455,1
1806.09936,0
1806.10018,1
1806.10071,3
1806.10130,2
1806.10244,1
1806.11204,1
1806.11304,1
1806.11401,2
1807.00196,1
1807.00298,0
1807.01079,1
1807.01081,1
1807.02416,2
1807.02879,1
1807.03224,0
1807.05037,4
1807.05517,2
1807.05609,1
1807.06149,1
1807.06391,0
1807.06419,1
1807.07389,2
1807.08060,1
1807.08173,4
1807.08195,2
1807.08204,1
1807.08217,2
1807.08941,2
1807.09664,0
1807.11215,0
1807.11456,2
1808.00222,2
1808.00981,2
1808.01650,4
1808.01874,0
1808.02668,4
1808.03043,1
1808.03130,1
1808.03454,2
1808.03736,1
1808.04527,1
1808.04620,0
1808.04679,3
1808.06880,4
1808.07074,2
1808.07220,1
1808.07621,2
1808.07980,0
1808.08441,0
1808.09847,1
1808.10654,2
1809.01341,0
1809.01575,1
1809.01807,2
1809.02031,0
1809.02378,3
1809.02904,1
1809.03202,4
1809.03449,0
1809.03956,0
1809.04113,0
1809.04232,3
1809.05001,1
1809.05275,4
1809.05485,1
1809.05502,2
1809.05650,4
1809.05676,3
1809.05720,3
1809.05762,2
1809.05763,1
1809.05890,2
1809.06639,2
1809.06723,2
1809.06775,1
1809.07098,3
1809.07607,0
1809.07656,2
1809.07842,2
1809.08713,4
1809.09337,2
1809.09444,2
1809.10326,1
1809.10946,1
1809.11074,0
1810.00184,2
1810.00324,2
1810.00521,0
1810.00916,1
1810.01257,4
1810.01560,2
1810.01763,1
1810.01992,0
1810.02434,1
1810.02612,3
1810.04053,2
1810.04444,3
1810.04554,2
1810.04789,1
1810.04886,2
1810.05983,0
1810.07180,0
1810.07286,2
1810.07307,1
1810.07311,1
1810.07528,2
1810.08159,1
1810.08577,2
1810.08914,4
1810.09171,2
1810.09304,1
1810.09598,2
1810.09620,4
1810.09648,2
1810.09923,1
1810.10908,3
1810.11078,2
1810.11937,2
1810.12847,2
1810.13166,4
1810.13306,2
1811.00090,4
1811.00746,2
1811.00797,1
1811.00839,4
1811.01409,4
1811.01439,2
1811.01700,1
1811.02782,1
1811.02872,0
1811.03654,2
1811.03868,0
1811.04352,0
1811.04651,0
1811.04727,4
1811.05437,1
1811.06447,3
1811.08241,4
1811.09246,2
1811.09435,1
1811.09656,3
1811.09900,0
1811.10238,0
1811.10433,1
1811.10656,0
1811.10667,4
1811.11064,4
1811.11435,1
1812.01144,2
1812.01254,3
1812.04769,2
1812.04814,2
1812.05070,1
1812.06401,0
1812.06455,4
1812.06510,2
1812.06722,2
1812.06791,2
1812.08586,3
1812.08598,1
1812.08763,1
1812.08947,0
1812.09044,0
1812.09376,0
1812.09421,1
1812.10607,1
1812.10851,1
1812.11948,1
1901.00365,2
1901.00590,2
1901.01826,2
1901.02918,2
1901.02999,2
1901.05437,1
1901.06085,2
1901.06949,3
1901.07199,0
1901.08129,0
1901.08467,2
1901.09791,1
1901.09793,1
1901.09894,3
1901.11184,2
1902.01560,3
1902.01769,2
1902.02132,1
1902.02393,3
1902.02399,4
1902.03092,3
1902.04237,2
1902.04832,2
1902.05070,3
1902.05284,4
1902.06377,4
1902.06766,2
1902.07151,0
1902.09097,2
1902.09835,4
1902.09996,1
1902.10178,2
1902.10552,0
1902.10770,0
1903.00194,1
1903.00934,2
1903.01267,0
1903.01923,1
1903.01964,1
1903.01966,0
1903.03078,2
1903.03438,2
1903.03674,1
1903.03772,0
1903.03877,2
1903.03920,3
1903.04300,1
1903.04442,2
1903.04672,1
1903.06418,2
1903.07008,2
1903.07260,3
1903.07557,1
1903.08523,2
1903.09604,4
1903.10187,2
1903.10325,2
1903.10716,4
1903.11723,0
1904.00317,2
1904.00441,0
1904.01883,2
1904.01957,2
1904.07366,1
1904.09443,1
1904.10239,2
1904.11737,3
1904.12084,1
1904.13006,1
1905.00614,2
1905.03592,2
1905.04020,1
1905.04210,1
1905.04422,0
1905.04833,1
1905.05888,2
1905.06402,1
1905.07028,1
1905.09565,1
1905.10621,0
1905.10799,4
1905.11474,2
1905.12966,1
1905.13178,2
1905.13516,2
1906.00131,2
1906.00311,1
1906.00346,0
1906.00657,2
1906.00744,0
1906.01820,2
1906.02146,0
1906.02390,4
1906.02427,0
1906.02912,1
1906.03253,0
1906.03595,2
1906.03997,2
1906.05130,0
1906.06251,1
1906.06582,2
1906.07749,0
1906.08663,2
1906.08724,2
1906.10106,1
1906.10120,3
1906.10165,0
1906.10187,0
1906.11114,0
1906.11409,1
1907.00313,3
1907.01405,3
1907.04658,4
1907.05247,1
1907.05553,2
1907.05647,1
